
State,First_Year,Last_Year,Injury_Intent,Race_Ethnicity,Gender,Total_Deaths,Population,Age_Adjusted_Rate_per_ 100000
Alabama,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,5451,24450635,22.401010513305664
Alabama,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,4550,11826020,38.73841094970703
Alabama,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,901,12624615,7.239940166473389
Alabama,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,2131,6608065,32.01227
Alabama,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,1899,3073003,61.06064
Alabama,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,232,3535062,6.53294
Alabama,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,3200,16216113,18.74101
Alabama,2016,2020,All Firearm Deaths,non-Hispanic white,Male,2553,7922501,30.55312
Alabama,2016,2020,All Firearm Deaths,non-Hispanic white,Female,647,8293612,7.78391
Alabama,2016,2020,All Firearm Deaths,Latinx,All Genders,84,1081919,8.37097
Alabama,2016,2020,All Firearm Deaths,Latinx,Male,70,572400,12.64251
Alabama,2016,2020,All Firearm Deaths,Latinx,Female,14,509519,
Alabama,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,11,150526,
Alabama,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,,73855,
Alabama,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,76671,
Alabama,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,22,394012,5.6539
Alabama,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,18,184261,
Alabama,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,209751,
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,2513,24450635,10.932769775390625
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,2120,11826020,18.82964
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,393,12624615,3.32082
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,1807,6608065,27.19104
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,1608,3073003,51.70595
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,199,3535062,5.58407
